instrument_id,local_symbol,live_symbol
560,SI,Semiconductors
561,ALI,AI.Leaders
562,CI,Cybersecurity
563,QCI,Quantum
564,GMI,GoldMiners
567,EURUSD247=X,EURUSD.24-7
568,USDJPY247=X,USDJPY.24-7
610,ETORIA,ETORIAN610
611,VJ2F_611,VIX.JUL25
612,VM2F_612,VIX.MAR26
613,BRENT OI-USD_613,CO.FEB25
614,BRENT OI-USD_614,CO.MAR25
615,BRENT OI-USD_615,CO.APR25
616,BRENT OI-USD_616,CO.MAY25
617,BRENT OI-USD_617,CO.JUN25
618,BRENT OI-USD_618,CO.JUL25
619,BRENT OI-USD_619,CO.AUG25
620,BRENT OI-USD_620,CO.SEP25
621,BRENT OI-USD_621,CO.OCT25
622,BRENT OI-USD_622,CO.NOV25
623,BRENT OI-USD_623,CO.DEC25
624,C1I,Crypto10
625,C6G,Canada60
626,S3G,Sweden30
627,N2GI,Norway25
628,NATURAL -USD_628,NG.JAN25
629,NATURAL -USD_629,NG.FEB25
630,NATURAL -USD_630,NG.MAR25
631,NATURAL -USD_631,NG.APR25
632,NATURAL -USD_632,NG.MAY25
633,NATURAL -USD_633,NG.JUN25
634,NATURAL -USD_634,NG.JUL25
635,NATURAL -USD_635,NG.AUG25
636,NATURAL -USD_636,NG.SEP25
637,NATURAL -USD_637,NG.OCT25
638,NATURAL -USD_638,NG.NOV25
639,DORMANT -USD,DRM.27
640,DORMANT -USD_640,DRM.28
641,DORMANT -USD_641,DRM.29
642,DORMANT -USD_642,DRM.30
686,N2,NSDQ100.24-7
687,S2,SP.24-7
688,SKI,SouthKorea200
690,NI,Nuclear
691,DI6,Drm.TestIG
692,DI6_692,Drm.Index676
693,DI6_693,Drm.Index677
694,DI6_694,Drm.Index678
695,DI6_695,Drm.Index679
696,DI6_696,Drm.Index681
697,DI6_697,Drm.Index682
698,DI6_698,Drm.Index683
699,DI6_699,Drm.Index684
700,DI6_700,Drm.Index685
701,VA2F_701,VIX.APR26
702,VM2F_702,VIX.MAY26
703,VJ2F_703,VIX.JUN26
704,VJ2F_704,VIX.JUL26
705,VA2F_705,VIX.AUG26
706,VS2F_706,VIX.SEP26
707,VO2F_707,VIX.OCT26
708,VN2F_708,VIX.NOV26
709,VD2F_709,VIX.DEC26
710,VJ2F_710,VIX.JAN27
711,VF2F_711,VIX.FEB27
712,VM2F_712,VIX.MAR27
713,VA2F_713,VIX.APR27
714,VM2F_714,VIX.MAY27
715,VJ2F_715,VIX.JUN27
716,VJ2F_716,VIX.JUL27
717,VA2F_717,VIX.AUG27
718,VS2F_718,VIX.SEP27
719,VO2F_719,VIX.OCT27
720,VN2F_720,VIX.NOV27
721,VD2F_721,VIX.DEC27
723,DORMANT -USD_723,Drm.723
724,DORMANT -USD_724,Drm.724
725,DORMANT -USD_725,Drm.725
726,DORMANT -USD_726,Drm.726
727,DORMANT -USD_727,Drm.727
728,DORMANT -USD_728,Drm.728
729,DORMANT -USD_729,Drm.729
730,DORMANT -USD_730,Drm.730
