instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
10960,DVP.ASX,DGL.AX,DVP.AX,5,RESCUED (applied)
10975,SLX.ASX,SSL.AX,SLX.AX,5,RESCUED (applied)
11016,KGN.ASX,KL.AX,KGN.AX,5,RESCUED (applied)
11038,WA1.ASX,WRL.AX_11038,WA1.AX,5,RESCUED (applied)
11040,TPW.ASX,T&W.AX,TPW.AX,5,RESCUED (applied)
11050,PWH.ASX,PHL.AX,PWH.AX,5,RESCUED (applied)
11091,DDR.ASX,DDL.AX,DDR.AX,5,RESCUED (applied)
11098,JIN.ASX,JIL.AX,JIN.AX,5,RESCUED (applied)
11155,MAQ.ASX,MTGL.AX,MAQ.AX,5,RESCUED (applied)
15685,BVR.ASX,BRL.AX,BVR.AX,5,RESCUED (applied)
15686,DRO.ASX,DL.AX_15686,DRO.AX,5,RESCUED (applied)
15687,VAU.ASX,VML.AX,VAU.AX,5,RESCUED (applied)
15688,SIG.ASX,SHL.AX_15688,SIG.AX,5,RESCUED (applied)
1000011,BOC.ASX,BCL.AX_1000011,BOC.AX,5,RESCUED (applied)
1000047,KCN.ASX,KCL.AX,KCN.AX,5,RESCUED (applied)
1000062,HZN.ASX,HOL.AX,HZN.AX,5,RESCUED (applied)
1000075,AAR.ASX,ARN.AX,AAR.AX,5,RESCUED (applied)
1000094,IMM.ASX,IL.AX_1000094,IMM.AX,5,RESCUED (applied)
1000098,MAH.ASX,MHL.AX_1000098,MAH.AX,5,RESCUED (applied)
1000109,TBR.ASX,TRL.AX,TBR.AX,5,RESCUED (applied)
1000124,SKS.ASX,STGL.AX,SKS.AX,5,RESCUED (applied)
1000142,SBM.ASX,SBL.AX,SBM.AX,5,RESCUED (applied)
1000159,RSG.ASX,RML.AX,RSG.AX,5,RESCUED (applied)
1000167,GWA.ASX,GGL.AX,GWA.AX,5,RESCUED (applied)
1000172,A1M.ASX,AML.AX_1000172,A1M.AX,5,RESCUED (applied)
1000178,PRN.ASX,PL.AX_1000178,PRN.AX,5,RESCUED (applied)
1000197,ASB.ASX,AL.AX_1000197,ASB.AX,5,RESCUED (applied)
1000199,CWP.ASX,CWPL.AX,CWP.AX,5,RESCUED (applied)
1000215,PNR.ASX,PGL.AX_1000215,PNR.AX,5,RESCUED (applied)
1000245,SHV.ASX,SHL.AX_1000245,SHV.AX,5,RESCUED (applied)
1000253,BTL.ASX,BEAL.AX,BTL.AX,5,RESCUED (applied)
1000257,SKC.ASX,SEGL.AX,SKC.AX,5,RESCUED (applied)
1000264,AIZ.ASX,ANZL.AX,AIZ.AX,5,RESCUED (applied)
1000268,DXB.ASX,DL.AX_1000268,DXB.AX,5,RESCUED (applied)
1000275,CCL.ASX,CL.AX_1000275,CCL.AX,5,RESCUED (applied)
1000304,ZIM.ASX,ZHL.AX,ZIM.AX,5,RESCUED (applied)
1000323,BCI.ASX,BML.AX,BCI.AX,5,RESCUED (applied)
1000345,TCG.ASX,TGL.AX_1000345,TCG.AX,5,RESCUED (applied)
